season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,1,regular,fbs,401752665,Florida State,Alabama,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,48.5,,,48.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401752665,Florida State,Alabama,2025-08-30T19:30:00+00:00,fanduel,moneyline,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,,440.0,-610.0,,440.0,-610.0,,,,,,
2025,1,regular,fbs,401752669,Georgia,Marshall,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,-38.5,-110.0,-110.0,-38.5,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401752669,Georgia,Marshall,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,52.5,,,52.5,,,-105.0,-115.0,-105.0,-115.0,,
2025,1,regular,fbs,401762793,Northern Illinois,Holy Cross,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,-11.5,-105.0,-115.0,-11.5,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401762793,Northern Illinois,Holy Cross,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,51.5,,,51.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401762793,Northern Illinois,Holy Cross,2025-08-30T19:30:00+00:00,fanduel,moneyline,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,,-400.0,300.0,,-400.0,300.0,,,,,,
2025,1,regular,fbs,401760359,Air Force,Bucknell,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,-30.5,-110.0,-110.0,-31.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401760359,Air Force,Bucknell,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,54.5,,,54.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401760359,Air Force,Bucknell,2025-08-30T19:30:00+00:00,fanduel,moneyline,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,,-7000.0,2000.0,,-10000.0,2400.0,,,,,,
2025,1,regular,fbs,401752807,Penn State,Nevada,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,-42.5,-118.0,-104.0,-42.5,-118.0,-104.0,,,,,,
2025,1,regular,fbs,401752807,Penn State,Nevada,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,55.5,,,55.5,,,-105.0,-115.0,-105.0,-115.0,,
2025,1,regular,fbs,401752804,Oregon,Montana State,2025-08-30T20:00:00+00:00,fanduel,spread,2025-08-30T08:00:38+00:00,2025-08-30T11:50:39+00:00,-27.5,-110.0,-110.0,-27.5,-110.0,-110.0,,,,,,
