player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
J'Mond Tapp,163863,ED,SO MISS,8,8,1,,1,0,296,0,0,65.8,88.6,41.0,91.0,76.6,68.0,12,21,0,0,,9.5,4,0,2,0.0,0,6,0,4,0,6,381,377,0,42,257,78,0,4,203,172,0,24,30,5,0,39,0,0,0,
Marc Pretto,163903,LB,N ILLINOIS,8,5,0,87.5,0,0,254,0,0,50.8,63.3,80.9,75.2,69.5,64.2,0,0,0,0,30,14.8,4,0,0,141.1,7,1,0,123,0,62,145,16,0,0,16,0,0,129,8,75,6,10,18,2,8,1,1,67,29,9.6
Jibreel Al-Amin,163936,LB,MARSHALL,8,5,0,76.2,0,0,214,0,0,40.0,57.4,42.2,67.6,70.2,61.5,2,6,0,0,55,14.3,5,3,1,128.3,16,3,0,195,0,125,325,94,0,0,94,0,1,231,53,147,35,20,25,2,21,11,1,236,159,14.8
Jumarion Larry,163959,ED,JVILLE ST,1,0,0,,0,0,196,0,0,,70.9,72.7,66.8,64.4,71.5,0,0,0,0,,,0,0,0,0.0,0,1,0,0,0,0,12,12,0,0,6,6,0,0,7,5,0,1,0,0,0,1,0,0,0,
Jabari Mack,163962,CB,LOUISVILLE,8,6,0,51.6,0,0,210,0,0,77.1,76.4,36.2,,70.0,70.0,0,0,0,2,61,9.5,2,2,1,59.9,16,0,0,21,463,280,498,2,0,0,2,0,0,496,0,218,11,3,13,0,31,0,1,230,127,14.4
Ky'Won McCray,163967,LB,NEW MEXICO,8,8,1,66.7,0,1,241,1,0,63.4,71.0,84.5,69.3,76.6,74.6,1,2,0,0,25,9.4,3,1,1,117.7,8,1,0,92,0,96,223,33,0,0,33,0,1,190,20,107,96,11,21,2,12,4,1,93,38,11.6
Fred Perry,163971,S,W VIRGINIA,9,10,1,76.2,1,1,343,1,0,63.9,70.7,0.0,76.3,84.0,54.0,1,7,0,0,27,22.2,16,0,4,99.3,16,2,0,109,3,216,424,63,0,0,63,0,67,361,36,172,182,27,46,3,21,10,1,90,76,5.6
Darrell Prater,163972,DI,JVILLE ST,8,2,0,,0,0,196,0,0,61.5,64.0,82.6,56.2,64.7,64.9,0,2,0,0,,10.0,1,0,0,0.0,0,0,0,0,0,0,189,188,93,86,1,8,0,1,96,93,0,4,7,0,0,2,0,0,0,
Larry Worth III,163980,S,ARKANSAS,9,9,1,64.3,0,0,111,0,0,54.3,61.2,34.8,73.2,70.5,90.1,0,2,0,0,37,5.6,3,0,2,117.3,9,1,0,192,4,254,510,16,0,0,16,0,218,494,7,249,80,16,42,0,14,3,1,127,49,14.1
Jakeem Fletcher,163993,DI,W KENTUCKY,7,0,0,,0,0,346,0,0,61.8,65.2,79.3,53.2,70.8,75.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,139,139,1,102,2,34,0,0,79,60,0,4,5,0,0,1,0,0,0,
Jaden Lyles,164028,S,W MICHIGAN,8,3,0,60.0,0,0,347,0,0,51.2,52.9,79.1,56.4,58.2,26.7,0,1,0,0,20,50.0,8,0,0,122.5,3,0,0,53,1,85,145,0,0,0,0,0,80,145,3,57,11,0,5,0,5,1,1,37,23,12.3
Sam Benjamin,164058,DI,S DIEGO ST,8,2,0,,0,0,284,0,0,60.0,67.7,81.6,60.4,69.4,53.1,0,4,0,0,,16.7,2,0,0,0.0,0,0,0,0,0,0,214,214,2,212,0,0,0,0,114,100,0,8,8,2,0,4,0,0,0,
Brandon Lane,164104,DI,WISCONSIN,8,6,0,,0,0,349,0,0,,62.6,42.7,56.3,68.4,65.5,0,5,0,0,,10.0,1,0,1,0.0,0,1,0,0,0,0,205,205,5,186,0,14,0,0,114,91,0,4,3,1,0,6,0,0,0,
Austin Brawley,164120,S,NEW MEXICO,1,2,0,28.6,0,0,241,0,0,63.0,64.0,76.9,,63.8,83.4,0,0,0,0,39,0.0,0,2,0,56.8,2,0,0,12,1,25,47,1,0,0,1,0,28,46,0,22,5,1,3,0,7,0,0,50,35,25.0
Michael Molnar,164125,LB,OHIO,8,10,0,76.2,0,0,259,0,0,71.0,77.7,84.4,67.3,80.0,76.4,4,7,0,0,27,9.8,6,2,0,91.4,16,1,0,327,0,191,396,12,0,0,12,0,0,384,36,169,57,26,45,3,21,12,0,130,89,8.1
Adonis Williams Jr.,164130,S,OHIO,9,9,0,64.0,0,0,259,0,0,57.5,60.0,88.1,66.0,61.7,63.3,1,0,0,0,27,15.4,10,2,0,101.6,16,0,0,166,1,292,536,37,0,0,37,0,268,499,12,232,64,13,46,3,25,1,2,117,47,7.3
Jonquis Hardaway,164132,CB,KENTUCKY,8,8,0,62.9,0,0,202,0,0,63.8,66.3,0.1,58.2,83.4,83.0,0,0,0,1,50,5.0,2,2,5,80.2,22,0,0,33,458,271,511,5,0,0,5,0,12,506,1,239,3,7,30,0,35,0,0,316,96,14.4
JoJo Bermudez,164134,WR,TEMPLE,2,0,0,,0,0,306,0,0,,63.9,60.0,,61.3,70.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,
Oliver Bridges,164136,CB,BUFFALO,8,1,0,66.7,0,0,126,0,0,59.2,61.3,81.7,67.0,65.7,36.8,1,1,0,1,15,30.8,4,0,0,55.4,10,0,0,10,119,85,143,14,0,0,14,0,0,129,4,54,0,2,8,0,15,2,0,92,22,9.2
Kalen Carroll,164139,CB,C MICHIGAN,9,5,0,51.4,0,1,134,0,0,74.8,72.9,84.4,49.8,64.8,65.6,0,1,0,1,45,13.2,5,2,3,67.2,19,0,0,41,391,267,469,7,0,0,7,0,0,462,11,191,30,8,28,1,37,1,1,218,76,11.5
CJ Doggette Jr.,164141,DI,FAU,8,5,0,,0,0,165,0,0,,63.0,63.8,58.6,65.4,79.5,0,3,0,0,,0.0,0,0,1,0.0,0,4,0,0,0,0,384,384,215,156,0,13,0,0,193,191,0,8,6,3,0,7,0,0,0,
Tyler Gillison,164143,ED,MICH STATE,3,2,0,,0,0,223,0,0,60.0,53.0,73.6,57.3,54.2,74.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,9,9,0,0,9,0,0,0,3,5,0,0,0,0,0,0,0,0,0,
Cincear Lewis,164146,S,CINCINNATI,3,0,0,100.0,0,0,138,0,0,65.0,70.0,72.0,58.4,71.8,79.3,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,9,0,6,21,0,0,0,0,0,0,21,2,13,12,2,3,0,1,0,0,5,3,5.0
Drew Logan,164147,ED,CINCINNATI,2,0,0,,0,0,138,0,0,,66.0,71.2,63.4,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,0,5,2,3,0,0,7,3,0,0,0,0,0,0,0,0,0,
