player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Myles Burkett,158691,QB,E KENTUCKY,9,75,4,2,8.8,32,0,149,0,0,3,99,16.8,13,20,159,4,14,56.7,58.1,74.2,53.9,,,63.4,60.0,21,1,0,0,0,232,215,33,0,42,3,364,157,2.09,4.9,,9
Xavier Coleman,143822,HB,LAMAR,9,75,11,4,27.0,92,0,341,1,0,11,243,41.9,8,19,204,1,36,71.0,68.0,82.2,,68.0,59.4,69.3,58.2,35,0,96,10,106,96,0,0,16,85,2,341,243,3.24,4.5,0.91,39
Quran Gossett,201539,HB,N ARIZONA,9,74,23,3,18.1,64,0,354,1,2,23,253,99.4,12,26,252,2,34,51.6,75.7,20.0,,86.2,75.7,74.3,47.5,29,2,124,12,87,98,0,0,17,86,7,354,253,3.42,4.8,1.43,37
Xaviah Bascon,177444,HB,HARVARD,7,74,24,5,29.1,109,0,374,0,1,24,272,117.8,9,21,179,0,39,85.1,77.2,81.5,,61.6,60.7,78.5,55.4,28,0,34,4,70,83,0,0,6,78,3,374,272,3.68,5.1,0.49,35
Zavion Woodard,165127,HB,STHLSK,9,74,4,1,6.7,15,0,224,0,2,4,159,15.9,2,11,1470,0,46,85.0,57.2,82.0,,21.3,62.9,59.4,47.8,15,1,48,7,83,91,0,0,8,81,1,224,159,2.15,3.0,0.58,27
Victor Dawson,148602,HB,ILL STATE,7,73,17,4,30.3,109,0,360,0,3,17,244,80.5,9,22,188,2,18,51.4,65.0,80.9,,54.0,62.4,65.1,59.4,50,0,39,10,67,84,0,0,12,83,1,360,244,3.34,4.9,0.58,55
Jordan Washington,192539,HB,MURRAY ST,9,73,10,3,19.7,61,0,310,2,4,10,205,45.7,7,14,236,2,42,53.6,65.6,83.7,,70.9,52.7,69.6,50.6,24,0,143,13,111,101,0,0,16,86,2,310,205,2.81,4.2,1.29,30
DJ Scott,173804,HB,N DAK ST,9,72,7,4,29.3,108,0,369,1,0,7,251,32.5,6,24,250,0,25,84.8,82.0,81.7,,61.9,45.9,83.6,64.8,39,0,27,3,47,91,0,0,5,75,6,369,251,3.49,5.1,0.57,47
Dez Thomas II,177368,QB,GEORGETOWN,9,72,17,3,24.7,110,0,226,0,0,4,66,17.4,17,21,172,4,14,42.9,53.7,72.2,52.0,,,57.6,60.0,67,1,0,0,0,225,219,33,0,39,4,445,222,3.08,6.2,,11
Reggie Davis,149834,HB,ALCORN ST,8,72,19,4,21.7,72,0,332,1,1,19,234,77.4,8,23,107,0,29,86.5,76.3,0.0,,76.5,62.7,78.1,68.0,21,2,77,12,68,86,0,0,17,84,3,332,234,3.25,4.6,1.13,43
Jordon Vaughn,150705,HB,ABILENE CH,8,71,13,5,50.2,214,0,426,0,1,13,383,100.7,8,17,100,1,27,66.5,72.7,82.0,,68.5,55.0,74.5,61.4,75,0,23,4,67,100,0,0,4,75,4,426,383,5.39,6.0,0.34,42
Kyle Wickersham,148418,QB,RICHMOND,6,71,7,1,8.2,20,0,176,0,0,5,148,18.1,11,16,276,4,33,37.6,65.6,64.7,64.5,,60.0,62.8,60.0,20,1,0,0,1,156,69,7,0,64,3,245,181,2.55,3.5,0.0,7
Matt Colombo,131822,HB,SAN DIEGO,4,71,7,4,29.7,90,0,303,0,0,7,211,27.4,8,19,283,0,13,84.8,65.1,79.7,,70.1,60.3,64.5,69.4,36,0,37,5,66,80,0,0,6,76,2,303,211,2.97,4.3,0.56,58
Donta Whack,158773,HB,ROB MORRIS,9,71,15,1,7.6,20,0,264,0,0,15,207,59.1,4,9,277,2,30,48.9,66.4,80.7,,45.3,56.5,67.2,58.1,20,0,8,3,42,82,0,0,3,74,2,264,207,2.92,3.7,0.19,40
Andy Peters,128138,QB,STTHOM,8,71,7,4,39.5,149,0,291,0,0,5,101,13.6,14,28,1129,7,24,29.7,89.0,72.9,88.7,,55.6,69.4,60.0,53,1,0,0,3,235,86,10,1,61,6,377,147,2.07,5.3,0.0,5
Joseph Koch,192206,HB,STTHOM,7,71,12,5,46.6,189,0,406,0,0,12,167,37.1,11,17,1129,0,44,85.0,68.1,83.8,,44.8,62.1,69.2,55.1,77,0,56,5,48,108,0,0,6,76,6,406,167,2.35,5.7,1.17,26
Garrison Johnson Sr.,99596,HB,CITADEL,9,70,14,4,39.2,145,0,370,1,3,14,201,66.9,10,19,139,0,48,84.8,67.6,82.9,,40.4,54.4,71.7,49.6,55,0,40,3,36,153,0,0,5,73,5,370,201,2.87,5.3,1.11,18
