player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Rico Bond,192802,WR,LNDNWD,9,2,0,0,0.0,0,1,12,0,8,0,1,9.1,1,1,949,0,1,75.4,73.1,62.7,,62.1,73.8,57.9,63.4,13,2,502,42,296,244,0,0,68,44,0,12,1,0.5,6.0,1.7,0
Alex McClelland,192836,QB,RHODE ISLD,1,2,0,0,0.0,0,0,16,0,0,0,8,0.0,1,0,274,0,1,65.5,65.3,65.5,,,,62.8,,14,0,0,0,0,2,0,0,0,2,0,16,8,4.0,8.0,,1
Jariyah Sawyer,160481,WR,COLGATE,7,2,1,1,113.3,17,0,15,1,0,1,12,100.0,1,1,142,0,1,71.8,57.2,79.3,,,55.7,63.5,61.4,17,0,50,4,56,41,0,0,8,6,0,15,12,6.0,7.5,0.89,1
Kam'ryn Thomas,191814,WR,NORFOLK,7,2,0,0,0.0,0,0,4,1,6,0,6,50.0,0,0,244,0,0,72.7,68.8,0.0,,,71.4,59.5,54.7,7,4,511,34,236,171,0,0,64,36,0,4,6,3.0,2.0,2.17,0
Christian Jourdain,169011,WR,TXAMCO,9,2,1,0,0.0,0,0,4,5,7,1,5,46.5,0,1,1139,0,1,73.6,65.0,85.7,,,64.4,64.6,60.6,2,0,541,41,331,203,0,0,73,43,0,4,5,2.5,2.0,1.63,0
JaVon Ford II,201888,HB,TOWSON,1,2,0,0,0.0,0,0,7,0,0,0,4,0.0,0,0,317,0,1,65.5,63.9,67.8,,,58.5,63.5,60.0,5,0,0,0,2,3,0,0,0,2,0,7,4,2.0,3.5,0.0,1
Xavier Washington,160514,QB,DRAKE,3,2,0,0,0.0,0,0,13,0,0,0,5,0.0,1,1,153,1,2,66.3,51.5,74.1,42.5,,,62.6,60.0,14,0,0,0,0,25,0,0,0,2,0,13,5,2.5,6.5,,0
La'James White,157765,HB,ABILENE CH,2,2,0,0,0.0,0,0,5,0,0,0,4,0.0,0,1,100,0,0,65.5,54.5,70.6,,,55.3,55.9,,3,0,0,0,7,2,0,0,0,2,0,5,4,2.0,2.5,0.0,2
Azariah Fletcher,189035,WR,N ALABAMA,7,2,0,0,0.0,0,0,2,0,0,0,4,0.0,0,0,389,0,1,68.1,53.8,79.2,,,52.0,61.0,59.1,6,0,0,0,21,35,0,0,2,2,0,2,4,2.0,1.0,0.0,0
Colby Alexander,202055,WR,WOFFORD,7,2,1,1,94.4,17,0,18,2,4,1,4,62.5,1,1,350,0,2,71.7,71.0,79.4,,,69.7,61.6,71.0,17,0,119,14,57,49,0,0,19,16,1,18,4,2.0,9.0,2.09,0
Chet Yardley,191855,WR,BUTLER,8,2,0,0,0.0,0,0,17,0,0,0,9,0.0,1,2,127,0,2,68.1,59.5,81.5,,,56.5,68.0,62.1,10,0,48,5,50,80,0,0,8,7,0,17,9,4.5,8.5,0.96,0
Marqeese Dietz,155299,WR,STNY BROOK,7,2,0,0,0.0,0,0,13,1,1,0,3,3.9,0,1,303,1,2,84.8,67.8,19.9,76.2,,66.6,68.2,66.0,7,3,324,36,183,175,0,0,46,38,0,13,3,1.5,6.5,1.77,0
Jeremy Decaro,193001,WR,MARIST,9,2,0,0,0.0,0,0,8,0,2,0,4,14.3,0,0,213,0,2,79.9,62.7,83.6,75.7,,63.1,56.1,44.5,4,0,196,26,201,61,0,0,35,28,0,8,4,2.0,4.0,0.98,0
Braden Graham,191899,QB,HOLY CROSS,4,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,181,2,0,71.6,45.2,80.4,43.5,,,60.1,60.1,-1,0,0,0,0,78,0,0,0,2,0,-2,0,0.0,-1.0,,0
Rex Connors,155292,S,UC DAVIS,1,2,0,0,0.0,0,0,4,0,0,0,5,0.0,0,1,322,0,2,68.3,66.8,65.5,,,,63.6,,2,0,0,0,0,2,0,0,0,2,1,4,5,2.5,2.0,,0
Taysear Williams-Clay,202139,HB,YNGTOWN ST,1,2,0,0,0.0,0,0,-1,0,0,0,3,0.0,0,0,353,0,0,65.5,67.9,66.2,,,,65.6,,5,0,0,0,0,2,0,0,0,2,0,-1,3,1.5,-0.5,,2
Chris Gundy,163167,WR,VALPO,8,2,0,0,0.0,0,0,8,2,1,0,5,12.5,0,0,332,0,2,81.7,64.7,85.1,,,63.1,61.3,70.9,6,0,265,18,168,136,0,0,27,20,0,8,5,2.5,4.0,1.58,0
Goldie Lawrence,170346,WR,FL A&M,7,2,2,1,100.0,33,0,33,1,0,2,10,58.8,1,1,164,0,0,70.8,68.3,0.0,,,69.2,68.4,63.3,33,3,214,15,129,101,0,0,24,17,1,33,10,5.0,16.5,1.66,0
Hayden Fisher,148600,WR,MERRIMACK,9,2,1,0,0.0,0,0,1,4,3,1,11,115.8,0,0,385,0,0,70.3,52.0,59.0,,,51.9,57.5,57.6,4,3,170,17,229,212,0,0,35,19,0,1,11,5.5,0.5,0.74,0
Derek Morgan,202235,QB,LEHIGH,1,2,0,0,0.0,0,0,10,0,0,0,7,0.0,0,1,205,0,0,65.5,67.8,66.6,,,,63.8,60.0,9,0,0,0,0,3,0,0,0,2,1,10,7,3.5,5.0,,1
Kingston Lowe,189046,HB,N ALABAMA,2,2,0,0,0.0,0,0,1,0,0,0,4,0.0,0,0,389,0,1,65.5,56.6,67.5,,63.8,60.0,57.5,,1,0,0,0,1,2,0,0,0,2,0,1,4,2.0,0.5,0.0,1
Cooper Johns,172695,HB,CITADEL,1,2,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,139,0,2,65.5,54.9,66.1,,,,56.3,60.0,3,0,0,0,0,3,0,0,0,2,0,4,3,1.5,2.0,,0
Dajwon DeLoach,170416,HB,ALAB A&M,1,2,1,0,0.0,0,0,13,0,0,1,6,150.0,0,1,104,0,0,65.5,71.9,65.2,,,,68.7,,7,0,0,0,0,2,0,0,0,2,0,13,6,3.0,6.5,,2
Keshawn Brown,148572,WR,MERRIMACK,4,2,0,0,0.0,0,0,10,0,4,0,1,25.0,0,0,385,0,0,69.3,73.1,80.7,,,71.5,66.5,60.4,8,0,83,6,44,33,0,0,7,8,0,10,1,0.5,5.0,1.89,0
Kingston Tisdell,202557,QB,WEBER ST,2,2,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,342,0,1,68.8,43.9,74.5,41.0,,,64.2,60.0,4,0,0,0,0,13,0,0,0,2,0,4,1,0.5,2.0,,0
Torey French,185487,WR,INDIANA ST,9,2,2,0,0.0,0,0,24,1,1,2,20,272.7,2,2,191,0,2,75.2,62.1,81.9,60.0,,58.3,77.9,62.8,13,0,83,9,88,71,0,0,17,11,0,24,20,10.0,12.0,0.94,0
Jayden Milton,177996,HB,NICHOLLS,1,2,1,0,0.0,0,0,-1,0,0,1,5,125.0,0,0,243,0,0,67.3,64.7,70.0,,,58.3,64.5,60.0,2,0,0,0,2,4,0,0,0,2,0,-1,5,2.5,-0.5,0.0,2
Cam Pedro,156804,WR,SE MO ST,9,2,1,0,0.0,0,0,15,2,5,1,14,87.5,1,1,293,1,0,51.8,65.4,85.6,,,66.0,63.2,47.1,11,0,561,46,337,152,0,0,67,48,0,15,14,7.0,7.5,1.66,1
Joey Isabella,142453,WR,DUQUESNE,9,2,0,0,0.0,0,0,9,2,14,0,0,0.0,0,0,155,0,0,63.7,81.8,85.0,,,82.3,53.5,70.2,5,0,660,50,235,203,0,0,70,52,0,9,0,0.0,4.5,2.81,2
Tyler Day,190637,LB,TXGV,3,2,0,1,93.4,71,0,76,0,0,0,3,0.0,1,1,1445,0,0,65.5,50.8,63.0,,,,52.8,58.8,71,0,0,0,0,5,0,0,0,2,1,76,3,1.5,38.0,,1
Ben Mehan,202705,P,TXAMCO,2,2,0,0,0.0,0,0,-20,0,0,0,0,0.0,0,0,1139,0,0,65.5,60.9,73.6,,,,60.1,,0,1,0,0,0,2,0,0,0,2,0,-20,0,0.0,-10.0,,0
Jabre Bevineau,202726,WR,GARD-WEBB,8,2,0,0,0.0,0,0,4,0,2,0,7,50.0,0,0,171,1,2,23.4,64.0,0.0,,,66.9,58.5,63.8,4,3,180,12,85,64,0,0,19,14,0,4,7,3.5,2.0,2.12,0
Kevonne Wilder,142387,WR,NEWHVN,8,1,0,0,0.0,0,0,7,2,13,0,7,206.8,0,0,1013,1,0,43.8,66.8,84.8,,,67.0,63.0,54.0,7,0,522,43,265,145,0,0,67,44,0,9,7,7.0,9.0,1.97,1
Talan White-Hatch,202797,WR,INDIANA ST,6,2,0,0,0.0,0,0,12,0,0,0,4,0.0,0,0,191,0,2,66.9,60.0,0.0,,,59.6,61.9,73.4,8,1,29,2,31,22,0,0,3,4,0,12,4,2.0,6.0,0.94,0
George Helms,185244,HB,MONTANA ST,1,2,0,0,0.0,0,0,10,0,0,0,5,0.0,0,1,233,0,1,65.5,57.0,68.9,,,60.0,58.3,60.0,6,0,0,0,1,3,0,0,0,2,0,10,5,2.5,5.0,0.0,0
Taylor Wright-Rawls,148534,WR,MERCYHURST,5,2,0,0,0.0,0,0,11,1,2,0,4,40.0,0,0,977,0,0,69.0,61.5,80.0,,,62.6,60.8,46.7,6,0,81,8,51,35,0,0,13,10,0,11,4,2.0,5.5,1.59,0
Izay Bridges,192124,WR,E TENN ST,5,2,3,1,62.5,20,0,32,0,0,3,29,1450.0,2,2,157,0,0,64.3,90.1,71.7,,,58.8,79.7,82.0,20,0,2,1,2,10,0,0,1,3,0,32,29,14.5,16.0,1.0,1
Ben Mauney,185180,QB,GARD-WEBB,1,2,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,171,0,0,65.5,61.1,66.6,,,,60.1,60.0,-5,0,0,0,0,3,0,0,0,2,0,-10,0,0.0,-5.0,,0
Markell Quick,174404,WR,CHATTNOOGA,9,2,1,0,0.0,0,0,21,2,5,1,7,67.7,2,2,137,0,1,74.5,72.8,56.1,,31.4,74.2,68.3,59.0,11,1,510,29,209,228,0,0,54,31,0,21,7,3.5,10.5,2.44,0
Ka'Von Chisolm,196897,DI,SCAR STATE,4,2,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,290,0,0,65.5,63.2,69.7,,60.5,59.9,62.0,60.7,1,0,0,0,1,9,0,0,0,2,0,1,1,0.5,0.5,0.0,0
"Ruben Lee, II",174276,QB,MS VLY ST,2,2,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,228,0,0,64.4,60.3,69.8,58.9,,,60.0,60.0,4,0,0,0,0,6,0,0,0,2,0,3,1,0.5,1.5,,1
Marty O'Keeffe,177801,WR,VALPO,7,2,0,0,0.0,0,0,-7,0,0,0,1,0.0,0,0,332,1,2,16.1,46.1,82.3,,,45.6,55.3,58.2,-1,0,13,4,79,78,0,0,10,6,0,-7,1,0.5,-3.5,0.16,0
Tru Tanner,197515,WR,UTAHTC,9,2,0,0,0.0,0,0,-6,2,2,0,3,37.5,0,0,1285,0,1,68.5,48.2,84.3,,74.6,48.7,56.4,47.5,-1,0,79,6,147,117,0,0,22,8,0,-6,3,1.5,-3.0,0.54,1
Lasalle Rose Jr.,160322,WR,ALBANY,9,2,1,1,120.0,18,0,15,3,2,1,14,300.0,1,1,106,0,1,78.3,48.8,23.9,,,48.9,61.4,58.5,18,1,46,5,118,53,0,0,18,7,0,15,14,7.0,7.5,0.39,1
Shamontae Burgees,209956,WR,SCAR STATE,5,2,0,0,0.0,0,0,6,0,1,0,1,8.3,0,1,290,0,1,69.4,77.3,75.4,,,72.7,69.8,57.8,5,0,54,4,21,9,0,0,5,6,0,6,1,0.5,3.0,2.57,0
Cincere Gill,177729,WR,PRESBYTERN,8,2,1,1,67.9,36,0,36,2,7,0,0,0.0,2,2,271,0,0,72.0,78.2,0.0,,,78.9,67.9,64.6,36,4,605,28,173,142,17,1,43,29,0,53,9,4.5,26.5,3.5,0
Evan Roach,177711,HB,MOREHEAD,2,2,0,0,0.0,0,0,3,0,0,0,4,0.0,0,0,234,0,0,65.5,59.9,70.2,,78.5,57.9,58.7,,3,0,0,0,3,2,0,0,0,2,0,3,4,2.0,1.5,0.0,2
Rashad Rochelle,156502,WR,INDIANA ST,8,2,1,0,,0,0,0,2,3,1,7,48.3,0,0,191,1,1,79.4,66.6,86.1,76.2,,65.5,60.6,60.8,4,0,416,27,205,157,0,0,44,29,0,0,7,3.5,0.0,2.03,0
Ran Sawyer,203274,WR,SO UTAH,6,2,0,0,0.0,0,0,6,0,0,0,0,0.0,0,0,298,0,0,71.7,75.6,70.7,,,76.8,59.8,59.9,5,0,2,2,4,3,0,0,2,4,0,6,0,0.0,3.0,0.5,1
Beckham Pellant,185467,QB,ILL STATE,2,2,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,188,1,0,15.6,35.6,75.4,54.7,62.2,,25.1,60.0,4,0,0,0,0,28,0,0,0,2,0,1,1,0.5,0.5,,1
Bryson Moss,145745,HB,JACKSON ST,2,2,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,194,0,0,65.5,56.3,66.1,,70.3,,56.9,,4,0,0,0,0,2,0,0,0,2,0,7,6,3.0,3.5,,2
Antonio Hunter,203456,WR,HOWARD,9,2,2,0,0.0,0,0,2,2,2,2,3,42.9,0,0,184,0,1,81.2,58.2,26.7,,,58.9,60.8,55.9,5,2,138,12,115,77,0,0,20,14,0,2,3,1.5,1.0,1.2,1
John Washington III,203472,HB,HOWARD,1,2,0,0,0.0,0,0,6,0,0,0,4,0.0,0,1,184,0,0,75.9,60.7,69.4,,,59.7,60.7,60.0,3,0,0,0,0,5,0,0,0,2,0,6,4,2.0,3.0,,2
Josh Lorick,192305,WR,INCAR WORD,9,2,1,1,69.2,18,0,26,1,10,1,15,196.4,1,1,189,1,0,49.6,59.9,55.7,55.3,,61.3,63.2,43.1,18,1,371,40,276,131,0,0,51,42,0,26,15,7.5,13.0,1.34,0
Andrew Vines,171683,HB,ST FRANCIS,4,2,0,0,0.0,0,0,5,0,1,0,2,10.0,0,0,299,0,2,69.0,57.0,77.8,,14.0,69.6,53.1,,3,0,60,8,45,2,0,0,9,10,0,5,2,1.0,2.5,1.33,0
Davin Garinger,173750,QB,AUSTINPEAY,1,2,0,0,0.0,0,0,12,0,0,0,0,0.0,1,1,116,0,0,65.5,66.8,68.6,,,,63.4,60.0,11,0,0,0,0,6,0,0,0,2,0,12,0,0.0,6.0,,2
Cooper Willman,138032,WR,E ILLINOIS,9,2,0,0,0.0,0,0,4,1,1,0,5,9.3,0,1,158,0,0,83.0,62.5,87.2,38.6,,63.9,59.6,58.0,3,0,350,25,224,285,0,0,46,27,0,4,5,2.5,2.0,1.56,1
Tysan Robbins,150846,QB,ARKAPB,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,112,0,0,66.4,54.3,73.0,52.0,,,61.8,60.0,14,0,0,0,0,9,18,2,0,0,1,18,1,0.5,9.0,,0
Lucci Fidone,206002,WR,DRAKE,4,2,0,0,0.0,0,0,27,0,0,0,0,0.0,2,2,153,0,1,62.5,69.7,74.6,,,65.3,63.3,60.3,14,0,0,0,7,15,0,0,0,2,0,27,0,0.0,13.5,0.0,0
Davis LeDoyen,148337,TE,ELON,9,2,0,1,74.2,23,0,31,0,0,0,12,0.0,1,2,162,0,0,69.2,61.5,80.7,50.0,74.9,52.2,70.4,61.3,23,0,17,1,35,115,0,0,1,3,0,31,12,6.0,15.5,0.49,0
Braylon Knauth,192438,WR,CITADEL,9,2,1,0,0.0,0,0,-1,1,2,1,6,69.2,0,0,139,0,1,53.2,60.0,87.4,,,60.5,54.9,57.7,3,1,184,11,111,280,0,0,16,13,0,-1,6,3.0,-0.5,1.66,0
Jalen Ferguson,200587,QB,CAMPBELL,2,2,0,0,0.0,0,0,2,0,0,0,5,0.0,0,0,131,0,2,68.4,51.3,6.9,54.3,,,57.1,60.0,2,1,0,0,0,21,0,0,0,2,0,2,5,2.5,1.0,,0
Ty Durham,200605,WR,CENT ARK,9,2,0,0,0.0,0,0,5,0,2,0,2,8.3,0,0,132,0,1,74.5,64.0,29.7,,,66.2,56.2,54.6,3,2,273,22,224,217,0,0,39,24,0,5,2,1.0,2.5,1.22,0
Liam Poronsky,188956,QB,DAYTON,1,2,0,0,0.0,0,0,7,0,0,0,3,0.0,0,0,150,0,0,67.0,50.2,72.0,53.7,,,54.0,60.0,5,0,0,0,0,12,0,0,0,2,0,7,3,1.5,3.5,,2
Gabe Downing,170743,QB,PORTLAND,1,2,0,0,0.0,0,0,3,0,0,0,7,0.0,0,0,269,0,0,68.3,63.9,74.0,65.8,,,55.8,60.0,3,0,0,0,0,14,0,0,0,2,0,3,7,3.5,1.5,,0
Chris Long,129885,WR,MONTANA ST,7,2,0,0,0.0,0,0,5,4,2,0,5,41.7,0,0,233,0,1,69.0,53.8,83.4,,,52.9,57.9,63.8,4,0,142,10,168,129,0,0,19,12,0,5,5,2.5,2.5,0.85,0
Stefano Giovannelli,172152,WR,STTHOM,9,1,0,0,0.0,0,0,8,1,3,0,0,0.0,0,1,1129,0,0,68.3,77.0,80.2,60.0,,74.8,69.5,61.7,8,0,177,8,49,41,0,0,11,9,1,8,0,0.0,8.0,3.61,0
JC Mirasola,203209,QB,S ILLINOIS,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,295,0,0,62.5,60.2,67.4,,,,60.0,60.0,-1,0,0,0,0,4,0,0,0,1,0,-1,0,0.0,-1.0,,0
Kaden Cooper,170608,WR,N ALABAMA,8,1,0,0,,0,0,0,0,0,0,3,0.0,0,0,389,0,1,64.1,55.6,77.2,,,58.7,,42.1,0,1,20,3,24,31,0,0,5,4,0,0,3,3.0,0.0,0.83,0
Sam Milligan,171964,WR,BUCKNELL,9,1,0,0,0.0,0,0,2,2,18,0,1,38.3,0,1,125,1,0,44.9,84.7,59.7,,63.8,85.5,59.3,62.3,2,1,730,46,269,166,0,0,59,47,0,2,1,1.0,2.0,2.71,0
Kenari Wilcher,174035,WR,FL A&M,7,1,0,0,0.0,0,0,4,2,3,0,8,114.3,0,0,164,0,0,46.7,60.6,48.4,,60.9,60.4,57.6,68.2,4,1,316,20,198,119,0,0,29,21,0,4,8,8.0,4.0,1.6,0
Jerrod Hicks,203249,WR,SOUTHERN U,7,1,0,0,,0,0,0,2,0,0,1,0.0,0,0,297,0,1,73.0,48.7,77.9,,,50.8,57.9,46.0,0,0,20,4,35,20,0,0,8,5,0,0,1,1.0,0.0,0.57,0
Hubert Thomas,203269,HB,SO UTAH,1,1,0,0,0.0,0,0,-3,0,0,0,-5,0.0,0,0,298,1,1,11.1,33.5,62.7,,,,43.4,,-3,0,0,0,0,1,0,0,0,1,0,-3,-5,-5.0,-3.0,,0
Isaiah Garcia-Castaneda,138481,WR,S DAK ST,8,1,0,0,0.0,0,0,8,1,3,0,6,257.1,0,1,292,0,0,76.4,64.1,81.2,73.4,,60.6,63.6,66.4,8,0,74,6,70,75,0,0,14,7,0,8,6,6.0,8.0,1.06,0
Jay Melchiori,203344,WR,VALPO,8,1,0,0,0.0,0,0,1,2,1,0,0,0.0,0,0,332,1,0,25.5,63.2,84.0,,,62.8,59.4,62.7,1,1,208,17,124,96,0,0,32,18,0,1,0,0.0,1.0,1.68,0
Jalen McDonald,171626,WR,MERRIMACK,5,1,1,0,0.0,0,0,7,4,2,1,13,243.8,0,0,385,0,0,70.3,61.9,85.0,,61.1,60.9,63.2,61.4,7,0,195,15,141,115,0,0,37,16,0,7,13,13.0,7.0,1.38,0
Kian Salehi,170654,WR,CAL POLY,8,1,0,1,100.0,18,0,18,4,2,0,1,10.5,1,1,129,0,0,70.6,57.5,84.1,,62.1,57.1,63.2,53.9,18,0,234,18,208,101,0,0,29,19,0,18,1,1.0,18.0,1.13,0
Johnny DiBlasio,203370,QB,VALPO,1,1,0,1,100.0,28,0,28,0,0,0,5,0.0,1,1,332,0,1,71.3,46.3,75.0,53.5,,,48.3,60.0,28,0,0,0,0,17,0,0,0,1,0,28,5,5.0,28.0,,0
Maxwell Moss,172255,WR,HAMPTON,9,1,0,0,0.0,0,0,5,4,6,0,2,46.2,0,0,178,0,1,74.9,60.9,40.0,,,61.4,70.2,54.2,5,2,341,25,234,276,0,0,42,26,0,5,2,2.0,5.0,1.46,0
Charlie Hewitt,203414,QB,YALE,1,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,352,0,0,62.5,60.0,63.6,,,,60.0,,-3,0,0,0,0,1,0,0,0,1,0,-3,0,0.0,-3.0,,0
Lucius Anderson,203415,WR,YALE,6,1,0,0,0.0,0,0,-1,0,1,0,2,66.7,0,0,352,0,0,65.3,58.0,78.9,,,58.7,57.8,58.9,-1,0,31,2,33,41,0,0,4,3,0,-1,2,2.0,-1.0,0.94,0
Chance Wilson,170708,QB,MONTANA ST,1,1,0,1,100.0,32,0,32,0,0,0,2,0.0,1,1,233,0,1,63.7,83.3,68.7,60.6,,,68.5,60.0,32,0,0,0,0,3,0,0,0,1,1,32,2,2.0,32.0,,0
Tyler Nelson,173797,QB,PRVIEW A&M,1,1,1,0,0.0,0,0,11,0,0,1,17,1.7e3,1,1,270,0,0,62.5,68.5,65.5,,,,63.5,60.0,11,0,0,0,0,2,0,0,0,1,0,11,17,17.0,11.0,,1
Ryan Fontaine,170714,HB,N ARIZONA,2,1,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,252,0,0,62.5,58.2,67.3,,,60.0,59.6,59.3,3,0,0,0,1,3,0,0,0,1,0,3,1,1.0,3.0,0.0,1
Benjamin Newman,203577,QB,WAGNER,2,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,338,1,0,13.0,41.6,70.7,58.3,,,48.7,60.0,-2,0,0,0,0,8,0,0,0,1,0,-2,0,0.0,-2.0,,1
Malik Redd,203581,WR,WAGNER,7,1,0,0,0.0,0,0,7,1,0,0,4,0.0,0,1,338,0,0,69.6,61.5,45.1,,,61.3,63.3,59.7,7,2,160,11,137,153,0,0,14,12,0,7,4,4.0,7.0,1.17,1
Terrence Rone,205985,WR,DELWARE ST,7,1,0,0,0.0,0,0,-1,1,0,0,0,0.0,0,0,152,1,0,18.0,58.4,80.8,,,62.5,42.5,61.4,-1,0,83,6,66,84,0,0,9,7,0,-1,0,0.0,-1.0,1.26,0
Willis Nofsinger,206020,WR,DRAKE,1,1,0,0,0.0,0,0,7,0,0,0,1,0.0,0,0,153,0,1,62.5,55.7,67.2,,,,58.2,60.0,7,0,0,0,0,3,0,0,0,1,0,7,1,1.0,7.0,,0
Jay Jones,134762,WR,S ILLINOIS,9,1,0,0,0.0,0,0,5,3,4,0,6,82.8,0,0,295,2,0,20.7,60.4,13.6,,,61.0,57.5,65.4,5,3,425,28,251,221,0,0,44,29,0,5,6,6.0,5.0,1.69,0
Trenton Leary,132721,WR,TEXAS STHN,7,1,0,1,100.0,15,0,15,2,1,0,0,0.0,1,1,313,0,0,17.4,50.9,0.0,,,51.9,63.5,53.7,15,3,109,13,161,147,0,0,32,14,0,15,0,0.0,15.0,0.68,0
Ashley Tucker Jr.,73973,QB,ALAB A&M,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,104,0,0,64.4,37.7,70.1,41.1,,,57.0,60.0,11,0,0,0,0,8,11,1,0,0,0,11,1,1.0,11.0,,0
Jalen Smith,171774,WR,LNDNWD,9,1,1,0,0.0,0,0,-1,4,5,1,1,20.0,0,0,949,0,1,72.1,70.8,86.5,,,70.2,57.4,69.3,-1,1,566,29,276,195,0,0,57,30,0,-1,1,1.0,-1.0,2.05,0
DJ Maultsby,206174,WR,ST FRANCIS,8,1,0,0,0.0,0,0,-8,1,2,0,0,0.0,0,0,299,1,0,24.4,66.2,82.7,,,67.1,59.5,50.7,-8,0,255,15,128,64,0,0,31,16,0,-8,0,0.0,-8.0,1.99,0
Jones Rocky,206178,HB,ST FRANCIS,1,1,0,0,0.0,0,0,-3,0,0,0,3,0.0,0,0,299,0,0,75.8,56.4,67.6,,,58.5,59.5,,-3,0,0,0,2,1,0,0,0,1,0,-3,3,3.0,-3.0,0.0,0
Ellis Stewart,206339,WR,ARKAPB,7,1,0,1,100.0,20,0,20,1,7,0,0,0.0,1,1,112,0,0,37.3,64.8,39.8,,,65.7,,55.5,20,1,176,17,150,96,0,0,32,18,0,20,0,0.0,20.0,1.17,0
Christian White,206375,WR,MS VLY ST,8,1,1,0,0.0,0,0,10,2,0,1,6,46.2,1,0,228,1,0,22.8,56.6,86.2,,,55.3,63.4,62.8,10,0,214,12,214,147,0,0,25,13,0,10,6,6.0,10.0,1.0,0
Matthew Williams,206383,WR,MS VLY ST,3,1,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,228,0,0,62.5,57.9,77.6,,,54.4,57.7,77.4,-4,0,0,0,8,26,0,0,0,1,0,-4,0,0.0,-4.0,0.0,0
Malik Kemp,206384,QB,MS VLY ST,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,228,0,0,62.5,60.0,63.6,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,,0
Onterrio Smith Jr.,170782,WR,SACRAMENTO,7,1,0,1,100.0,18,0,18,0,1,0,0,0.0,1,1,279,0,0,64.3,60.8,80.7,,,55.5,63.4,73.6,18,0,8,1,35,78,0,0,2,2,0,18,0,0.0,18.0,0.23,0
Caden Drezek,170839,QB,MAINE,1,1,1,0,,0,0,0,0,0,0,,100.0,0,0,212,1,0,66.4,37.9,73.5,38.9,,,57.0,60.0,0,1,0,0,0,12,0,1,0,0,0,0,11,11.0,0.0,,0
RK Dandridge,173264,WR,YNGTOWN ST,4,1,0,0,0.0,0,0,7,0,0,0,1,0.0,0,0,353,0,0,67.0,61.1,0.0,,,61.4,63.2,59.0,7,1,45,5,63,40,0,0,8,6,0,7,1,1.0,7.0,0.71,0
Josh Ellerbe,206442,HB,CAMPBELL,1,1,0,0,0.0,0,0,8,0,0,0,8,0.0,0,0,131,0,1,64.3,67.5,67.9,,71.1,65.7,63.3,,8,0,2,1,1,1,0,0,1,2,0,8,8,8.0,8.0,2.0,0
JJ Evans,123983,WR,NORFOLK,8,1,0,0,0.0,0,0,4,2,2,0,2,19.0,0,0,244,0,1,70.2,54.0,59.1,,,55.2,,45.7,4,2,275,20,263,192,0,0,31,21,0,4,2,2.0,4.0,1.05,0
Joe Fragale,206522,K,NEWHVN,1,1,0,0,0.0,0,0,-24,0,0,0,0,0.0,0,0,1013,1,0,,60.0,70.3,,,,60.0,,-24,0,0,0,0,1,0,0,0,1,0,-24,0,0.0,-24.0,,0
Jude Kelley,122482,K,CHATTNOOGA,1,1,0,0,0.0,0,0,8,0,0,0,0,0.0,0,1,137,0,0,62.5,70.8,60.0,,,,62.7,,8,0,0,0,0,1,0,0,0,1,1,8,0,0.0,8.0,,0
Issac Glaudin,206607,WR,NEWHVN,8,1,0,0,,0,0,0,0,2,0,1,11.1,0,0,1013,0,0,21.4,63.4,84.4,,,63.6,60.0,57.8,0,0,220,17,148,100,0,0,30,18,0,0,1,1.0,0.0,1.49,0
Jordan Kelley,159257,WR,COLUMBIA,6,1,1,0,0.0,0,0,3,2,0,1,4,57.1,0,0,145,0,0,69.0,46.2,83.4,,,45.3,59.5,59.8,3,0,26,6,123,83,0,0,15,7,0,3,4,4.0,3.0,0.21,0
