player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
CJ Carr,184093,QB,NOTRE DAME,8,72.3,202,215,11.0,2.62,2,16,6.8,64.7,139,0,52,4.8,226,7,100,258,71.8,83.8,83.1,63.6,0,4,245,4,11.5,112.9,2.7,6,5,2,9,16,8,3.3,2057,9.6
Jackson Arnold,173684,QB,AUBURN,9,73.5,196,210,7.3,2.85,3,5,2.3,63.3,133,0,92,7.6,273,11,69,115,56.1,66.5,60.1,70.7,2,2,289,3,32.6,85.8,11.0,30,33,0,9,6,9,3.1,1278,6.1
Bryson Barnes,131845,QB,UTAH ST,8,73.3,191,210,10.6,2.95,2,11,4.8,63.3,133,0,115,5.0,266,7,88,329,42.0,77.8,74.7,70.8,5,3,288,2,21.7,107.0,9.4,25,31,0,12,14,9,3.1,1808,8.6
Jacob Clark,101628,QB,MO STATE,7,72.2,194,206,9.2,2.88,4,13,6.0,63.6,131,0,97,6.4,254,9,82,230,67.5,74.7,73.1,62.1,5,8,265,1,25.8,92.8,9.8,25,22,1,2,13,11,4.2,1623,7.9
Aidan Chiles,173727,QB,MICH STATE,8,70.5,190,204,9.2,3.12,0,6,2.8,62.3,127,0,88,5.2,246,7,71,223,29.7,63.4,56.6,73.0,1,3,261,2,21.6,92.6,7.7,19,20,0,13,10,8,3.1,1391,6.8
LaNorris Sellers,174326,QB,S CAROLINA,9,72.8,184,204,9.7,3.3,3,10,4.5,60.3,123,0,122,8.2,273,11,72,289,50.4,71.1,65.5,70.3,4,5,293,5,25.4,84.8,11.4,31,37,2,11,7,9,3.1,1532,7.5
Dylan Lonergan,172386,QB,BOSTON COL,7,75.0,192,204,7.4,2.57,6,9,4.2,67.2,137,0,60,4.9,228,7,70,121,54.0,65.8,66.7,50.8,1,4,237,0,16.7,93.6,4.4,10,12,0,5,9,9,3.8,1422,7.0
Bear Bachmeier,203434,QB,BYU,8,72.6,190,203,9.3,2.54,2,10,4.6,62.1,126,0,65,8.7,231,12,78,128,50.5,80.3,74.2,75.4,4,3,248,0,15.4,100.3,4.3,10,17,2,5,11,8,3.2,1686,8.3
Dante Moore,173983,QB,OREGON,8,79.6,191,203,8.7,2.68,5,16,7.5,71.4,145,0,60,4.6,231,7,83,264,66.8,87.0,84.8,69.4,1,4,241,1,15.0,120.9,3.9,9,18,0,6,19,4,1.7,1770,8.7
E.J. Warner,156185,QB,FRESNO ST,7,79.0,195,202,6.9,2.54,4,6,2.8,69.3,140,0,55,9.1,231,14,83,169,45.6,71.3,68.9,65.2,0,9,244,1,23.6,88.5,5.6,13,14,0,3,10,13,5.3,1490,7.4
Alonza Barnett III,156710,QB,JAMES MAD,8,71.3,181,199,8.0,2.65,7,9,4.2,61.8,123,0,60,4.7,216,6,71,197,45.9,72.4,63.8,76.4,3,3,231,2,15.0,100.9,4.2,9,8,0,8,13,7,3.0,1521,7.6
Baylor Hayes,192135,QB,TULSA,6,71.9,178,198,9.6,2.85,6,8,3.7,59.6,118,0,86,7.8,229,10,70,320,32.1,52.3,50.8,57.9,3,3,245,0,18.6,88.7,7.0,16,15,0,11,9,12,4.9,1337,6.8
AJ Hairston,184157,QB,UMASS,8,63.8,174,197,9.7,3.01,4,6,2.9,47.7,94,0,108,15.3,227,17,43,216,48.6,58.8,61.1,51.2,7,4,242,4,13.0,58.4,6.2,14,16,0,12,4,6,2.5,863,4.4
Broc Lowry,173383,QB,W MICHIGAN,9,75.3,174,195,7.5,2.63,2,7,3.3,64.6,126,0,72,3.8,225,5,73,347,77.6,87.0,71.2,87.8,2,1,240,1,19.4,94.1,6.2,14,16,0,17,7,1,0.4,1328,6.8
Tucker Kilcrease,156863,QB,TROY,7,73.4,169,193,10.6,2.79,10,10,4.9,59.6,115,0,91,7.3,248,9,76,318,55.4,67.7,68.1,60.6,2,4,261,1,28.6,88.7,10.5,26,27,1,11,9,6,2.3,1391,7.2
Tayven Jackson,157615,QB,UCF,7,69.4,183,192,8.5,2.55,2,9,4.6,63.0,121,0,52,4.7,208,6,54,323,52.1,63.5,58.8,72.8,3,4,213,5,19.2,83.8,4.8,10,5,0,4,5,10,4.7,1344,7.0
Cutter Boley,184630,QB,KENTUCKY,7,71.3,181,189,8.5,2.74,1,3,1.4,64.6,122,0,64,5.4,233,7,77,202,34.9,56.9,57.4,53.5,0,7,254,1,26.6,88.6,7.3,17,23,2,5,10,11,4.3,1384,7.3
