captured_at,game_id,home_team,away_team,commence_time,bookmaker,market,point_home,point_away,price_home,price_away,price_draw,last_update,source
2025-11-07T22:10:17Z,401760406,San José State,Air Force,2025-11-08 23:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760406,San José State,Air Force,2025-11-08 23:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760406,San José State,Air Force,2025-11-08 23:00:00+00:00,Fanatics,moneyline,,,-220.0,180.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754585,Louisville,California,2025-11-09 00:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754585,Louisville,California,2025-11-09 00:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754585,Louisville,California,2025-11-09 00:00:00+00:00,Fanatics,moneyline,,,-1100.0,700.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754586,Clemson,Florida State,2025-11-09 00:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754586,Clemson,Florida State,2025-11-09 00:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754586,Clemson,Florida State,2025-11-09 00:00:00+00:00,Fanatics,moneyline,,,-120.0,100.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754589,Virginia,Wake Forest,2025-11-09 00:00:00+00:00,Fanatics,spread,,,-115.0,-105.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754589,Virginia,Wake Forest,2025-11-09 00:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754589,Virginia,Wake Forest,2025-11-09 00:00:00+00:00,Fanatics,moneyline,,,-255.0,205.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752759,Alabama,LSU,2025-11-09 00:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752759,Alabama,LSU,2025-11-09 00:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752759,Alabama,LSU,2025-11-09 00:30:00+00:00,Fanatics,moneyline,,,-400.0,305.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752760,Kentucky,Florida,2025-11-09 00:30:00+00:00,Fanatics,spread,,,-120.0,100.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752760,Kentucky,Florida,2025-11-09 00:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752760,Kentucky,Florida,2025-11-09 00:30:00+00:00,Fanatics,moneyline,,,135.0,-165.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757166,Notre Dame,Navy,2025-11-09 00:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757166,Notre Dame,Navy,2025-11-09 00:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757166,Notre Dame,Navy,2025-11-09 00:30:00+00:00,Fanatics,moneyline,,,-3000.0,1500.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760409,Utah State,Nevada,2025-11-09 00:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760409,Utah State,Nevada,2025-11-09 00:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
