season,date,week,season_type,home_team,away_team,actual_home_points,actual_away_points,actual_margin,actual_total,pred_home_points,pred_away_points,pred_spread,pred_total,pred_home_win_prob,spread_error,total_error,brier
2024,2024-10-12T19:30:00.000Z,7,regular,MERCER,PRINCETON,34.0,7.0,27.0,41.0,27.98559516082849,26.45883141008993,1.526763750738561,54.44442657091842,0.5380104704935658,-25.47323624926144,13.444426570918417,0.21343432537357648
2024,2024-10-12T19:30:00.000Z,7,regular,TENN STATE,SAMFORD,31.0,28.0,3.0,59.0,24.293042519869587,23.85558646830075,0.4374560515688364,48.14862898817034,0.5109061233807757,-2.5625439484311636,-10.851371011829663,0.23921282014642103
2024,2024-10-12T19:30:00.000Z,7,regular,SCAR STATE,SCAR STATE,31.0,24.0,7.0,55.0,25.010018426564184,17.49620508748853,7.513813339075651,42.506223514052714,0.6806843516714504,0.513813339075651,-12.493776485947286,0.10196248326748199
2024,2024-10-12T19:30:00.000Z,7,regular,FORDHAM,SAMFORD,49.0,7.0,42.0,56.0,29.99632152775065,24.265931465747716,5.730390062002933,54.262252993498365,0.6398842361945396,-36.26960993799707,-1.7377470065016354,0.12968336334119013
2024,2024-10-12T19:30:00.000Z,7,regular,LAMAR,TEXAS STHN,3.0,34.0,-31.0,37.0,20.522012355864558,21.913610712244367,-1.391598356379812,42.435623068108924,0.46534573277564145,29.608401643620187,5.435623068108924,0.2165466510124987
2024,2024-10-12T19:30:00.000Z,7,regular,MAINE,SAN DIEGO,24.0,27.0,-3.0,51.0,28.066987434574568,22.73132961605342,5.335657818521146,50.798317050627986,0.6306134848482144,8.335657818521145,-0.2016829493720138,0.3976733672724092
2024,2024-10-12T19:30:00.000Z,7,regular,TENN MARTN,TARLETON,34.0,24.0,10.0,58.0,30.793299499738772,23.907456807029682,6.885842692709087,54.700756306768454,0.666534985649611,-3.1141573072909132,-3.2992436932315456,0.11119891579570514
2024,2024-10-12T20:00:00.000Z,7,regular,W GEORGIA,ILL STATE,40.0,28.0,12.0,68.0,31.80884509952245,25.214033257588845,6.594811841933604,57.022878357111296,0.6598946913439018,-5.405188158066396,-10.977121642888704,0.11567162097605985
2024,2024-10-12T20:00:00.000Z,7,regular,LAMAR,STF AUSTIN,20.0,27.0,-7.0,47.0,24.542410919315984,13.950262703744137,10.592148215571843,38.49267362306012,0.7460173575322429,17.592148215571843,-8.50732637693988,0.5565418977393902
2024,2024-10-12T20:00:00.000Z,7,regular,MONTANA,N ARIZONA,31.0,20.0,11.0,51.0,44.69455884381867,20.366230754202206,24.328328089616466,65.06078959802088,0.9358098954574059,13.328328089616466,14.060789598020875,0.004120369521189161
2024,2024-10-12T20:00:00.000Z,7,regular,ILL STATE,E WASHGTON,35.0,36.0,-1.0,71.0,31.288446554418904,24.54883214203126,6.739614412387643,55.83727869645016,0.6632049335775588,7.739614412387643,-15.162721303549837,0.43984078392161424
2024,2024-10-12T20:00:00.000Z,7,regular,STETSON,W CAROLINA,21.0,28.0,-7.0,49.0,24.876569525800235,31.241291644284487,-6.364722118484252,56.11786117008472,0.3453906027998075,0.6352778815157478,7.117861170084723,0.11929466850241438
2024,2024-10-12T20:00:00.000Z,7,regular,W ILLINOIS,TENN MARTN,17.0,45.0,-28.0,62.0,32.163009325886925,25.335391784848277,6.827617541038652,57.4984011107352,0.6652105796784061,34.82761754103865,-4.501598889264798,0.4425051153160811
2024,2024-10-12T20:00:00.000Z,7,regular,SOUTHERN U,E KENTUCKY,42.0,21.0,21.0,63.0,24.135879991324735,22.86017290288582,1.2757070884389146,46.99605289421056,0.5317746738520034,-19.724292911561086,-16.003947105789443,0.2192349560463978
2024,2024-10-12T20:00:00.000Z,7,regular,SCAR STATE,TENN TECH,34.0,3.0,31.0,37.0,29.792231099173982,16.194105020580047,13.598126078593936,45.98633611975403,0.8023048976424465,-17.401873921406064,8.986336119754029,0.039083353496163556
2024,2024-10-12T20:15:00.000Z,7,regular,W GEORGIA,ILL STATE,41.0,31.0,10.0,72.0,31.80884509952245,25.214033257588845,6.594811841933604,57.022878357111296,0.6598946913439018,-3.4051881580663963,-14.977121642888704,0.11567162097605985
