game_id,week,start_date,home_team,away_team,neutral,spread_home_minus_away,total_points,home_points,away_points,home_win_prob,home_moneyline,away_moneyline,weather_condition,weather_temp,weather_wind,weather_total_adj
401635599,9,2024-10-26T19:30:00.000Z,Stanford,Wake Forest,False,2.3248215319414363,56.675305262185745,29.50006339706359,27.175241865122153,0.5624774252705207,-128.5596350355867,128.5596350355867,Cloudy,67.8,5.8,
401644756,9,2024-10-26T19:30:00.000Z,Western Michigan,Kent State,False,24.58671352406854,62.718029763774936,43.65237164392174,19.065658119853197,0.9518509256902714,-1976.8831266979282,1976.8831266979282,Clear,56.1,5.8,
401643817,9,2024-10-26T19:30:00.000Z,James Madison,Southern Miss,False,38.06571072451528,45.444934288097585,41.75532250630643,3.6896117817911573,0.9949851698921219,-19840.854993852063,19840.854993852063,Cloudy,68.4,0.0,
401629035,9,2024-10-26T19:30:00.000Z,UConn,Rice,False,15.89706528590839,43.21988994402997,29.55847761496918,13.661412329060791,0.8588785185863148,-608.609341386226,608.609341386226,clear,61.0,16.1,-1.2300000000000004
401628525,9,2024-10-26T19:30:00.000Z,Oregon,Illinois,False,16.662051687884865,59.02780632852205,37.84492900820346,21.18287732031859,0.8701369714424304,-670.0421059845296,670.0421059845296,Clear,75.7,9.2,
401628400,9,2024-10-26T19:30:00.000Z,Alabama,Missouri,False,15.12975925813086,48.43532911396423,31.782544186047545,16.652784927916684,0.8469389569937038,-553.334107986488,553.334107986488,Clear,86.9,7.0,
401628527,9,2024-10-26T19:30:00.000Z,Iowa,Northwestern,False,17.13320083555007,38.55961616437263,27.84640849996135,10.713207664411279,0.8767531305659629,-711.3796355169977,711.3796355169977,Clear,60.8,7.0,
401645355,9,2024-10-26T19:30:00.000Z,Tulsa,UTSA,False,-14.995938435080454,54.728833016496054,19.8664472907078,34.86238572578826,0.1552099905995788,544.2884225023037,-544.2884225023039,Clear,74.7,8.1,
401635594,9,2024-10-26T20:00:00.000Z,California,Oregon State,False,13.705329165181205,55.18919505422555,34.447262109703374,20.741932944522176,0.8230478953627905,-465.12467147549273,465.12467147549273,Cloudy,65.5,4.7,
401628405,9,2024-10-26T20:15:00.000Z,Vanderbilt,Texas,False,-16.022590687636544,50.463647707032834,17.220528509698145,33.24311919733469,0.13923006294927964,618.2356876217831,-618.2356876217831,Cloudy,69.6,11.4,
401643819,9,2024-10-26T21:00:00.000Z,South Alabama,UL Monroe,False,18.984429067463815,57.210204522445224,38.09731679495452,19.1128877274907,0.9004512240346392,-904.5326929463822,904.5326929463822,Clear,84.9,10.6,
401643741,9,2024-10-26T21:00:00.000Z,Colorado State,New Mexico,False,7.64614459414539,66.45366106810694,37.04990283112616,29.403758236980778,0.6974893958434791,-230.56692435237534,230.56692435237534,Fair,69.8,4.3,
401643818,9,2024-10-26T23:00:00.000Z,Arkansas State,Troy,False,-6.080013744926214,61.0120607267726,27.466023490923195,33.54603723584941,0.3404414697992274,193.7362479928611,-193.7362479928611,Clear,65.8,9.2,
401636908,9,2024-10-26T23:00:00.000Z,Houston,Utah,False,-6.312223268593461,31.52413867708102,12.60595770424378,18.91818097283724,0.33470223693285517,198.77302558949154,-198.77302558949154,fair,83.1,13.9,-0.5700000000000001
401636905,9,2024-10-26T23:00:00.000Z,Arizona,West Virginia,False,-0.12473142383030145,60.08483047416378,29.980049525166738,30.104780948997043,0.4966341775609515,101.35545340660144,-101.35545340660144,clear,95.7,9.2,-0.28500000000000014
401643745,9,2024-10-26T23:00:00.000Z,Wyoming,Utah State,False,-3.2673837975931654,57.9055248145406,27.319070508473715,30.586454306066884,0.41254259383534164,142.3992128190115,-142.3992128190115,Clear,59.2,8.1,
401635596,9,2024-10-26T23:00:00.000Z,Miami,Florida State,False,34.506255763119135,60.26947629594707,47.3878660295331,12.881610266413972,0.990203179267521,-10107.393064616772,10107.393064616772,Cloudy,80.1,11.4,
401628529,9,2024-10-26T23:30:00.000Z,Michigan,Michigan State,False,8.926212841475646,42.88277400429683,25.904493422886237,16.97828058141059,0.7270045432137933,-266.30646230246185,266.30646230246185,clear,37.9,0.0,-0.16800000000000012
401628404,9,2024-10-26T23:30:00.000Z,Texas A&M,LSU,False,3.4896720247253015,56.1230976759974,29.80638485036135,26.31671282563605,0.5933011694043512,-145.88219212123272,145.88219212123272,Fair,83.8,0.0,
401628531,9,2024-10-26T23:30:00.000Z,Wisconsin,Penn State,False,-13.57234551672807,50.87730217470198,18.652478328986955,32.22482384571502,0.17929690915563368,457.73409854599214,-457.73409854599214,Cloudy,46.6,4.7,
401628401,9,2024-10-26T23:45:00.000Z,Kentucky,Auburn,False,-4.345453933462339,45.3559754815588,20.50526077404823,24.85071470751057,0.3844052716934902,160.1421139711531,-160.14211397115307,Clear,54.9,5.8,
401636909,9,2024-10-27T00:00:00.000Z,Kansas State,Kansas,False,11.617526782774092,63.698345972657634,37.65793637771586,26.04040959494177,0.7840140628063778,-362.99310640004416,362.99310640004416,Cloudy,55.4,4.3,
401635595,9,2024-10-27T00:00:00.000Z,Duke,SMU,False,-12.898701334594676,44.47919232038238,15.790245492893852,28.68894682748853,0.19147278615687224,422.2674303076717,-422.2674303076717,Cloudy,70.2,3.7,
401643742,9,2024-10-27T00:00:00.000Z,Fresno State,San José State,False,3.285992897492573,44.00677011032029,23.646381503906433,20.360388606413856,0.5879473865980595,-142.68745482377045,142.68745482377045,Overcast,75.9,5.8,
401636907,9,2024-10-27T02:15:00.000Z,Colorado,Cincinnati,False,11.320608676565382,51.809635300266834,31.56512198841611,20.244513311850724,0.7780838871591603,-350.6207265432815,350.6207265432815,Clear,53.4,3.4,
401643744,9,2024-10-27T02:30:00.000Z,San Diego State,Washington State,False,-12.786616140449134,62.236235113172214,24.72480948636154,37.51142562681068,0.1935467630548049,416.67100199285636,-416.67100199285636,Fog,64.2,0.0,
401643743,9,2024-10-27T03:59:00.000Z,Hawai'i,Nevada,False,2.6670033313402666,53.7545295721469,28.210766451743584,25.543763120403316,0.5715803043102932,-133.41597271575344,133.41597271575344,cloudy,76.6,24.9,-3.869999999999999
