team,plays_mean,pass_rate,plays_var,pass_rate_var,pass_attempts_mean,rush_attempts_mean,sack_rate,throwaway_rate,scramble_rate,pass_k,rush_k,win_prob_q4,favored
NEW MEXICO STATE,67.125,0.5647408686561486,354.69642857142856,0.0049605530331505,38.125,26.625,0.0697674418604651,0.0,0.0,10.510960098140496,19.888714929859717,0.7826909011608859,True
NORTH CAROLINA,58.25,0.4821389062895314,63.92857142857142,0.0158212922910889,28.125,28.875,0.0,0.0,0.0,19.496863996478876,19.406016209476313,0.3195431771235692,False
NORTHERN ILLINOIS,59.5,0.3880880064635825,72.85714285714286,0.0189478796079515,22.5,35.75,,,,24.868421052631582,12.831032628182143,0.8606812080383377,True
NORTHWESTERN,65.75,0.4244720228733888,47.642857142857146,0.0078058576480986,27.75,36.875,,,,479.1499999999998,50.968457161981256,0.9182942341417938,True
NOTRE DAME,63.625,0.43597896196242414,67.125,0.0040265584282955,27.625,34.875,0.0,0.0,0.0,inf,100.45851769911506,0.0317864428159263,False
OHIO,69.875,0.3999136403650077,94.98214285714286,0.0046727705908696,28.125,39.75,,,,28.839111328125,180.57857142857145,0.2848865312258979,False
OHIO STATE,60.5,0.4677137256158215,32.285714285714285,0.0046632152882163,28.5,31.625,0.0,0.0,0.0,76.3187919463087,inf,0.0230957630595276,False
OREGON,64.25,0.42605410154335227,73.07142857142857,0.0062792751747278,27.5,35.625,,,,36.890243902439025,157.23866150442484,0.2468338419631814,False
OREGON STATE,68.44444444444444,0.5040312194435768,251.02777777777774,0.0165925936395985,35.111111111111114,31.88888888888889,0.1428571428571428,0.0,0.0,7.953484667463161,21.19770957987518,0.0577854198986978,False
PENN STATE,60.375,0.446766576415564,67.125,0.0024208637340176,27.125,32.0,0.1212121212121212,0.0,0.0,206.01437499999992,inf,0.8388053103839667,True
PURDUE,65.22222222222223,0.5055415509874575,107.19444444444444,0.0126927869804675,33.0,30.88888888888889,0.0714285714285714,0.0,0.0,18.536170212765956,12.642048010469065,0.9769042369404722,True
RICE,64.11111111111111,0.2498267199606694,141.36111111111111,0.0038066842866257,16.0,46.55555555555556,0.0555555555555555,0.0,0.0,37.92592592592592,56.705749354005185,0.5122547655208951,True
RUTGERS,74.44444444444444,0.4881273133683077,23.27777777777778,0.0110259947100617,36.333333333333336,34.888888888888886,0.0425531914893617,0.0,0.0,46.86785009861936,40.27614379084966,0.5171579245191229,True
SAM HOUSTON,62.875,0.5104377604800536,224.41071428571428,0.0039558848726158,32.375,27.375,0.0454545454545454,0.0,0.0,18.10483497840839,32.7346918876755,0.9422145801013019,True
SAN DIEGO STATE,65.75,0.3506665094950324,193.3571428571429,0.00569706836202,23.0,41.75,0.0,0.0,0.0,26.262411347517727,22.967411764705883,0.310362850666691,False
SAN JOSE STATE,,,,,,,,,,inf,inf,0.4218753495850063,False
SMU,64.0,0.5499996863382915,27.5,0.0062005736535419,35.333333333333336,27.33333333333333,0.0425531914893617,0.0,0.0,122.79781420765032,inf,0.0985881097637427,False
SOUTH FLORIDA,71.625,0.463847415666891,221.125,0.0112056523081033,32.625,37.5,,,,38.111173273657286,8.563505872118311,0.1794923140766954,False
SOUTHERN MISS,64.625,0.42671535887789136,186.2678571428571,0.0127388610038917,28.25,35.125,,,,8.732219617037906,43.398790829145725,0.4302336534048893,False
STANFORD,64.22222222222223,0.5018070888000468,65.69444444444444,0.0102296563135337,32.333333333333336,28.777777777777782,0.1020408163265306,0.0,0.0,29.728278041074258,23.38335511982572,0.6804568228764308,True
SYRACUSE,68.33333333333333,0.5211571448882831,110.5,0.0061911210221249,36.0,30.33333333333333,0.1,0.0,0.0,30.674556213017755,inf,0.9751893318897205,True
TCU,,,,,,,,,,inf,inf,0.3431266025488528,False
TEMPLE,58.77777777777778,0.4325526067461551,130.94444444444443,0.0063866797088173,25.555555555555557,31.88888888888889,0.074074074074074,0.0,0.0,21.25778581474784,33.928122747399854,0.7902104128770722,True
