season,week,target_spread,target_provider,provider_count,provider_list,spread_mean,spread_std,spread_min,spread_max,spread_rating_diff,power_diff,offense_diff,defense_diff,special_diff
2024,7,33.0,ESPN Bet,1,ESPN Bet,33.0,0.0,33.0,33.0,-15.626955907058226,2.253559143839444,-0.01919646166882416,-2.3118289058221038,-0.1953665015691779
2024,7,7.5,ESPN Bet,1,ESPN Bet,7.5,0.0,7.5,7.5,-5.257310916396404,-0.26319201284450533,-0.7913296492479364,-0.36669032501098636,0.8072365569622237
2024,7,4.5,ESPN Bet,1,ESPN Bet,4.5,0.0,4.5,4.5,-8.627343691718414,1.0870599818988607,0.7744943583110602,-0.024993295602035892,1.4378616399288227
2024,7,1.5,ESPN Bet,1,ESPN Bet,1.5,0.0,1.5,1.5,-5.040593733425834,-2.0050161077365014,0.31283440771167914,1.9955829979639992,-1.6113375874209062
2024,7,-22.5,ESPN Bet,1,ESPN Bet,-22.5,0.0,-22.5,-22.5,-23.169206356145956,-4.548730776489762,-1.5461369346455496,2.915142760303944,-0.43725540770134314
2024,7,3.5,ESPN Bet,1,ESPN Bet,3.5,0.0,3.5,3.5,-4.157226193850176,-0.20445147456407575,-0.4611184354581295,-0.20542301092324022,0.2562197498540686
2024,7,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,-4.071630135096172,0.5262266826081912,0.18824137540692454,-0.0647361556021595,1.3662457579955356
2024,7,-11.5,ESPN Bet,1,ESPN Bet,-11.5,0.0,-11.5,-11.5,-7.101488836760787,-0.9975562020629081,-1.0156489819167984,0.24629815361361956,1.3219546673375495
2024,7,12.0,ESPN Bet,1,ESPN Bet,12.0,0.0,12.0,12.0,-8.905411695455463,1.20123522003392,0.6089487914766886,-0.5195857591165357,0.363503347203478
2024,7,13.0,ESPN Bet,1,ESPN Bet,13.0,0.0,13.0,13.0,-5.98704958833709,4.50004507774905,1.229636148345761,-3.181938692293366,0.44235118554961683
2024,7,9.5,ESPN Bet,1,ESPN Bet,9.5,0.0,9.5,9.5,-7.076357287506815,1.8835251933599255,-0.027211902046524683,-1.6824006417012176,1.141682268526162
2024,7,-7.5,ESPN Bet,1,ESPN Bet,-7.5,0.0,-7.5,-7.5,3.0783348764961924,-2.6073255832875963,-0.6251639051587564,2.0879064611456566,0.5287239150840806
2024,7,13.0,ESPN Bet,1,ESPN Bet,13.0,0.0,13.0,13.0,6.084312739518284,-3.635805442804317,-1.9781894971469822,1.379509509233145,-1.390532182120952
2024,7,-21.5,ESPN Bet,1,ESPN Bet,-21.5,0.0,-21.5,-21.5,-0.6861957980369984,-0.9678353175398741,-0.10577837768611209,0.6448924756077901,-1.0858223212298588
2024,7,12.5,ESPN Bet,1,ESPN Bet,12.5,0.0,12.5,12.5,16.814514750540816,2.8975581052538697,1.0643744432068938,-1.5851322581138227,1.2402570196657652
2024,7,3.5,ESPN Bet,1,ESPN Bet,3.5,0.0,3.5,3.5,-6.238106250636736,-2.554696643305257,0.43845388184862877,2.830076447477706,-0.815370388380897
2024,7,23.5,ESPN Bet,1,ESPN Bet,23.5,0.0,23.5,23.5,-0.8560157559251544,-0.5700368406135459,0.27347354588040823,0.6719756276724982,-0.8576737941072801
2024,7,-2.5,ESPN Bet,1,ESPN Bet,-2.5,0.0,-2.5,-2.5,6.146541075266543,-2.3240131016257704,-2.3134141719060493,0.08576883160079096,0.3758495094053505
2024,7,26.5,ESPN Bet,1,ESPN Bet,26.5,0.0,26.5,26.5,6.15097533789401,2.264399383101624,0.8639772056354937,-1.2108482764548745,0.9478695050562795
2024,7,7.0,ESPN Bet,1,ESPN Bet,7.0,0.0,7.0,7.0,-5.545551001250328,3.299251897819616,1.6547619394186346,-1.427772726008333,1.0835861619632425
2024,7,-1.5,ESPN Bet,1,ESPN Bet,-1.5,0.0,-1.5,-1.5,17.00080942806572,2.648584065177904,-0.046090447205695995,-2.379868386686318,1.5740306284864087
2024,7,24.0,ESPN Bet,1,ESPN Bet,24.0,0.0,24.0,24.0,1.5063757779590743,-0.4104970741720151,-0.8734634948287393,-0.3480099199105723,0.5747825037307593
2024,7,-7.5,ESPN Bet,1,ESPN Bet,-7.5,0.0,-7.5,-7.5,-6.613552343845022,-1.8945601012746804,-0.6945699466820457,1.0905011884726097,-0.5474448306001249
2024,7,17.0,ESPN Bet,1,ESPN Bet,17.0,0.0,17.0,17.0,11.203738579761422,1.5965741061220717,1.1788806729369676,-0.28080664150280843,0.684433958411478
2024,7,3.5,ESPN Bet,1,ESPN Bet,3.5,0.0,3.5,3.5,3.453088307894579,0.38953281381954785,0.76826718203597,0.5508575154587874,0.8606157362118256
2024,7,27.0,ESPN Bet,1,ESPN Bet,27.0,0.0,27.0,27.0,-0.17506258721537604,-2.159895634335035,-0.912108917920303,1.1443639768663343,-0.5171136977419887
2024,7,-6.5,ESPN Bet,1,ESPN Bet,-6.5,0.0,-6.5,-6.5,-8.765414532925668,-1.693292140231835,-0.943519712797952,1.0807541181529654,1.6549084535954122
