season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,4,UC DAVIS,TARLETON,17.0,38.0,0.8777380953265025,2.1394274337397277,-0.06132401188045214,2.6078892088952013,0.1416858222433498,0.9790818185711567,1.0
2023,4,VILLANOVA,RHODE ISLD,35.0,9.0,0.6414316060704341,0.6732123124284503,0.21069603765398523,2.1347830089344435,0.3325215664412579,-0.3302036795509158,1.0
2023,4,SE LA,MCNEESE,38.0,13.0,0.3490036852605159,-0.4657255980585084,2.1344455953746824,-0.679178601096629,1.0956594578634182,-0.9332189933549055,1.0
2023,4,HOLY CROSS,COLGATE,47.0,7.0,-1.3424493472718448,0.5143821775656952,-0.31283505795065614,-0.9609138032143459,0.05748596502417215,-0.08606441152432422,1.0
2023,4,SOUTHERN U,SOUTHERN U,43.0,20.0,-1.1314560826510645,-1.1314560826510645,-2.035293979773674,-2.035293979773674,-0.9585375725755426,-0.9585375725755426,1.0
2023,4,AUSTINPEAY,TENN MARTN,45.0,27.0,0.8144659693235301,-0.29546173045640295,0.9356497334864866,-0.5953464526033412,0.181248428254045,0.5748789269143199,1.0
2023,4,TENN STATE,SO UTAH,0.0,33.0,-1.4442904903627436,0.7908656312558227,-0.03971098180967482,-0.8684800465531397,0.6528000148453635,-0.012900163373060047,1.0
2023,4,ILL STATE,SOUTHERN U,3.0,40.0,0.8922281869555811,-1.1314560826510645,-0.36962383709767366,-2.035293979773674,0.04466637227059255,-0.9585375725755426,1.0
2023,4,TENN STATE,TENN STATE,39.0,16.0,-1.4442904903627436,-1.4442904903627436,-0.03971098180967482,-0.03971098180967482,0.6528000148453635,0.6528000148453635,1.0
2023,4,NICHOLLS,ILL STATE,7.0,0.0,-1.1150956164930483,0.8922281869555811,0.45782983881228734,-0.36962383709767366,-1.0176363999231084,0.04466637227059255,1.0
2023,4,E WASHGTON,CENT ARK,28.0,58.0,-1.258895767059131,0.05202783057582748,-0.595314029440919,-0.3610923551968519,0.7262465081940498,-0.5481113728324037,1.0
2023,4,DUQUESNE,COLGATE,35.0,23.0,0.20057173742249368,0.5143821775656952,0.6731337970662508,-0.9609138032143459,-0.18277164387809366,-0.08606441152432422,1.0
2023,4,ILL STATE,INDIANA ST,10.0,35.0,0.8922281869555811,-0.9180329824885721,-0.36962383709767366,-2.254710437840436,0.04466637227059255,0.3190221237879174,1.0
2023,4,ST FRANCIS,STETSON,28.0,0.0,-1.710802906477063,-0.5812056460431352,-1.4433984970154314,-1.445508920788252,-0.7744459882650628,-0.24871685764792445,1.0
2023,4,MAINE,ROB MORRIS,19.0,20.0,0.017062177929087496,-0.5791453915823764,1.223308526032398,-0.3776104292456364,-0.3791475197108194,-0.14553214366546113,1.0
2023,4,ALCORN ST,N COLORADO,17.0,35.0,-0.9030023996452695,0.4127253456443712,0.14214736128061778,0.3500812533645393,-0.813399079538687,0.34357998266107953,1.0
2023,4,BUTLER,CAL POLY,16.0,41.0,0.28277155959235856,-0.3011425776104652,-0.23466064433337774,-0.3421306533832606,0.699152647408355,-0.5427481361681282,1.0
2023,4,WOFFORD,ALBANY,20.0,41.0,-0.7954089038863845,-1.5925942766844354,0.9796312497016109,-0.6282830864444137,1.0600449116862187,-1.2088592854042421,1.0
2023,4,W CAROLINA,CHARLES SO,77.0,21.0,-0.1347129082468058,-0.630452609774552,-0.018696535812455367,-1.2392875948789677,0.15085400983473038,-0.4112649500717501,1.0
2023,4,ILL STATE,MONTANA ST,15.0,12.0,0.8922281869555811,1.2075908069222054,-0.36962383709767366,1.3889974749121834,0.04466637227059255,0.3521873651203399,1.0
2023,4,TENN STATE,TENN STATE,42.0,0.0,-1.4442904903627436,-1.4442904903627436,-0.03971098180967482,-0.03971098180967482,0.6528000148453635,0.6528000148453635,1.0
2023,4,SAMFORD,CHATTNOOGA,24.0,47.0,-1.417078588316219,0.1749807525492594,-1.7221116235108924,-0.3372613918448623,-0.4888822536807984,0.2859177571191607,1.0
2023,4,GRAMBLING,TEXAS STHN,35.0,23.0,-0.12850804133420932,-1.1775465298567604,0.16714065688265367,0.3445744069126442,0.6244625603901356,0.6154930559108662,1.0
2023,4,S ILLINOIS,MCNEESE,31.0,28.0,0.8691236815433059,-0.4657255980585084,0.04605784979111614,-0.679178601096629,0.27695050544001304,-0.9332189933549055,1.0
2023,4,ILL STATE,NICHOLLS,42.0,53.0,0.8922281869555811,-1.1150956164930483,-0.36962383709767366,0.45782983881228734,0.04466637227059255,-1.0176363999231084,1.0
2023,4,SCAR STATE,UTAHTC,59.0,14.0,-0.5007707775647916,-0.5708269955340043,1.0410431363432906,-0.3877209017202471,-1.0021084387500485,0.07801751111460423,1.0
2023,4,STETSON,STNY BROOK,14.0,35.0,-0.5812056460431352,0.10388124227043377,-1.445508920788252,0.8538182692920716,-0.24871685764792445,-0.05450509434024716,1.0
2023,4,NC CENT,MS VLY ST,45.0,3.0,0.6793907079798074,-1.8360365599447226,0.5616368431229495,-0.32913078604371937,0.607537023583443,-1.7005613614184851,1.0
2023,4,SAN DIEGO,NICHOLLS,48.0,7.0,0.05878283537311639,-1.1150956164930483,-0.21752795310632214,0.45782983881228734,0.6160039686865293,-1.0176363999231084,1.0
2023,4,HOWARD,NICHOLLS,3.0,31.0,-0.882250331140757,-1.1150956164930483,0.7026267485189971,0.45782983881228734,-0.3151406179248811,-1.0176363999231084,1.0
2023,4,N COLORADO,ILL STATE,23.0,25.0,0.4127253456443712,0.8922281869555811,0.3500812533645393,-0.36962383709767366,0.34357998266107953,0.04466637227059255,1.0
2023,4,MONTANA,DRAKE,7.0,41.0,1.4518158292921124,0.45972757104989836,0.3160076585660428,1.4007745746000742,1.1621966987826424,0.17068391882085218,1.0
2023,4,WM & MARY,MAINE,28.0,3.0,0.3823530762823283,0.017062177929087496,0.3227410156926522,1.223308526032398,-0.40671257806627875,-0.3791475197108194,1.0
2023,4,LAFAYETTE,MONMOUTH,28.0,20.0,0.823251330047257,2.4562083040092464,0.4317879340034739,-0.9153693143179834,0.0507679822189166,0.9161048099125483,1.0
2023,4,SCAR STATE,PORTLAND,9.0,31.0,-0.5007707775647916,-0.8275116839199643,1.0410431363432906,-2.563882642479473,-1.0021084387500485,-0.900223034171643,1.0
